manhinh,ram,loaibonho,dungluongbonho,trongluong,gia,class,id,name,cpu,gpu
0.7388889,0.125,0.8,0.05,0.3425,0.21965732,vanphong,3910,MacBook Pro,0.7303989,0.226519337
0.7388889,0.125,0.4,0.05,0.335,0.14739138,phothong,3911,Macbook Air,0.502063274,0.138121547
0.8666667,0.125,0.8,0.1,0.465,0.09427775,vanphong,3912,250 G6,0.628610729,0.08839779
0.85555553,0.25,0.8,0.2,0.4575,0.4160436,chuyennghiep,3913,MacBook Pro,0.797799175,0.552486188
0.7388889,0.125,0.8,0.1,0.3425,0.2957206,vanphong,3914,MacBook Pro,0.742778542,0.226519337
0.8666667,0.0625,0.2,0.1953125,0.525,0.065584525,phothong,3915,Aspire 3,0.363136176,0.132596685
0.85555553,0.25,0.4,0.1,0.51,0.35087228,vanphong,3916,MacBook Pro,1,0.226519337
0.7388889,0.125,0.4,0.1,0.335,0.18998195,phothong,3917,Macbook Air,0.502063274,0.138121547
0.7777778,0.25,1,0.2,0.325,0.24512215,vanphong,3918,ZenBook UX430UN,0.808803301,0.325966851
0.7777778,0.125,0.8,0.1,0.4,0.1262502,vanphong,3919,Swift 3,0.782668501,0.165745856
0.8666667,0.0625,1,0.1953125,0.465,0.06458436,vanphong,3920,250 G6 x,0.628610729,0.08839779
0.8666667,0.0625,1,0.1953125,0.465,0.05656501,vanphong,3921,250 G6,0.419532325,0.127071823
0.85555553,0.25,0.8,0.1,0.4575,0.40006065,vanphong,3922,MacBook Pro,0.83218707,0.430939227
0.8666667,0.0625,0.8,0.1,0.55,0.0818003,vanphong,3923,Inspiron 3567,0.419532325,0.149171271
0.6666667,0.125,0.8,0.1,0.23,0.20698476,vanphong,3924,MacBook 12,0.489683631,0.132596685
0.7388889,0.125,0.8,0.1,0.3425,0.24898344,vanphong,3925,MacBook Pro,0.7303989,0.226519337
0.8666667,0.125,0.8,0.1,0.55,0.12215117,vanphong,3926,Inspiron 3567,0.69738652,0.149171271
0.85555553,0.25,0.8,0.2,0.4575,0.4686014,chuyennghiep,3927,MacBook Pro,0.83218707,0.480662983
0.8666667,0.125,0.2,0.4,0.55,0.08181669,phothong,3928,IdeaPad 320-15IKB,0.50343879,0.209944751
